Name,UniqueId,ResourceId,FirstCategory,FirstCategoryPriorityValue,ListPriorityByList,ListPriorityValue,ProcessPriorityByList,ProcessPriorityValue,CyclePriorityByList,CyclePriorityValue,HierarchyPriorityByList,HierarchyPriorityValue,RelationshipPriorityByList,RelationshipPriorityValue,MatrixPriorityByList,MatrixPriorityValue,PyramidPriorityByList,PyramidPriorityValue,PicturePriorityByList,PicturePriorityValue,PictureconvertPriorityByList,PictureconvertPriorityValue,ConvertPriorityByList,ConvertPriorityValue,OtherPriorityByList,OtherPriorityValue
基本の循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle2,3128,cycle,1000,,,,,1,1000,,,,,,,,,,,,,2,10000,,
テキスト循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle1,3125,cycle,2000,,,,,1,2000,,,,,,,,,,,,,,,,
ボックス循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle5,3237,cycle,3000,,,,,1,3000,,,,,,,,,,,,,,,,
矢印無し循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle6,3345,cycle,4000,,,,,1,4000,,,2,24000,,,,,,,,,,,,
連続性強調循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle3,3131,cycle,5000,,,,,1,5000,,,,,,,,,,,,,,,,
双方向循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle7,3294,cycle,6000,,,,,1,6000,,,,,,,,,,,,,,,,
円型循環,urn:microsoft.com/office/officeart/2005/8/layout/cycle8,3378,cycle,7000,,,,,1,7000,,,,,,,,,,,,,,,,
中心付き循環,urn:microsoft.com/office/officeart/2005/8/layout/radial6,3372,cycle,9000,,,,,1,9000,,,2,21000,,,,,,,,,,,,
円形画像を使用した階層,urn:microsoft.com/office/officeart/2009/layout/CirclePictureHierarchy,3501,hierarchy,600,,,,,,,1,600,,,,,,,2,12000,3,12000,,,,
組織図,urn:microsoft.com/office/officeart/2005/8/layout/orgChart1,3260,hierarchy,1000,,,,,,,1,1000,,,,,,,,,,,2,6000,,
氏名/役職名付き組織図,urn:microsoft.com/office/officeart/2008/layout/NameandTitleOrganizationalChart,3519,hierarchy,1250,,,,,,,1,1250,,,,,,,,,,,,,,
